age,monthly_income,savings,investment_amount,risk_level,account_balance,market_volatility_index,interest_rate,inflation_rate,stock_index_change,recommendations
25,126958,34500,16900,3,11417.32,15.92,1.33,4.39,-2.2,Real Estate
75,151867,27900,9200,0,14154.57,28.8,4.84,4.29,0.43,Gold
75,136932,3800,2600,1,19132.93,30.54,2.32,2.07,0.33,Index Funds
42,108694,7000,2500,2,13747.87,13.76,3.44,1.58,-2.14,Real Estate
42,124879,24800,7900,0,12009.68,33.59,0.58,3.08,1.93,Gold
95,115268,23400,13300,1,8885.51,10.54,1.07,1.93,-2.88,Mutual Funds
74,59886,16900,7800,1,8691.95,24.48,4.02,1.51,2.36,Index Funds
37,142337,44600,24500,1,11481.16,19.93,4.86,2.51,2.06,Mutual Funds
18,173266,30500,12800,1,16184.79,32.21,1.94,5.3,0.46,Index Funds
48,92498,23700,8300,0,10090.01,19.38,0.67,1.09,1.34,Fixed Deposit
38,117727,61000,20100,1,9320.39,34.8,2.12,2.46,-0.27,ETFs
21,131324,1100,500,2,15991.28,27.85,0.58,3.12,-2.31,Crypto
46,180203,18800,14900,1,9980.45,33.82,1.37,3.55,0.35,Index Funds
44,196335,25300,13700,2,8924.13,39.68,3.89,1.91,-2.36,Stocks
35,21023,8000,3100,1,11793.68,30.37,4.72,5.82,-0.02,Mutual Funds
37,46090,34800,14600,2,20601.13,39.55,0.89,3.89,-1.86,Real Estate
28,72221,18600,6100,0,3389.87,10.87,3.01,3.61,1.46,Gold
21,69820,16500,11400,0,8821.47,20.14,1.64,1.04,0.57,Fixed Deposit
20,5769,43300,18200,0,8900.24,13.24,1.13,3.43,1.02,Bonds
33,64735,5800,2400,0,6509.39,17.87,1.49,5.19,0.51,Fixed Deposit
39,199027,77500,58900,0,9360.3,35.17,3.1,2.1,2.82,Fixed Deposit
28,69925,38800,27500,0,8326.42,10.97,0.79,2.76,1.53,Bonds
24,10311,41100,25500,0,3941.75,25.61,2.45,1.1,2.56,Gold
44,108355,50800,33500,2,8065.72,27.01,1.11,5.88,-1.35,Real Estate
32,189779,27700,13600,0,3284.16,26.83,1.73,1.33,-0.81,Gold
46,90305,33400,26400,1,10085.45,24.26,1.36,5.49,-3.63,Index Funds
44,164765,37400,27700,1,13916.32,33.72,4.47,2.56,-0.59,Index Funds
